% 1  %BooleanFeature(Phrase(Token('$'),Number_body(_range(0,99.9)))) %BooleanFeature(Proximity(Token(price),Phrase(Token('$'),Number_body(_range(0,99.9))),-3,3)) %BooleanFeature(Proximity(Phrase(Token(your,our,special,sale),Token(price)),Phrase(Token('$'),Number_body(_range(0,99.9))),-7,0)) 
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
464,1,0,0,0
3874,1,1,0,0
3353,0,0,0,0
761,1,0,0,0
1955,1,0,0,1
754,1,1,1,1
3072,1,1,1,0
215,1,0,0,0
1181,1,1,1,0
449,1,0,0,0
999,1,0,0,1
3617,1,0,0,0
508,1,0,0,0
237,0,0,0,0
3129,0,0,0,0
236,1,0,0,0
976,0,0,0,0
503,0,0,0,0
970,0,0,0,0
1203,1,1,1,1
1206,1,0,0,1
3592,1,0,0,0
3119,1,0,0,0
973,0,0,0,0
248,0,0,0,0
2630,1,1,0,0
485,1,1,1,0
2632,1,0,0,1
724,1,0,0,0
2636,1,1,0,0
1213,1,0,0,0
3109,1,1,0,1
1905,0,0,0,0
282,0,0,0,0
831,0,0,0,0
286,1,0,0,0
4076,0,0,0,0
3528,1,1,0,1
2199,0,0,0,0
21,1,0,0,0
562,0,0,0,0
23,1,1,1,0
261,1,1,1,0
1353,1,0,0,0
560,1,0,0,0
3278,1,1,0,1
3821,0,0,0,0
797,0,0,0,0
1124,0,0,0,0
520,1,0,0,0
3321,1,0,0,0
45,1,0,0,0
772,0,0,0,0
291,0,0,0,0
292,1,1,1,1
294,1,1,1,1
52,1,1,1,1
2964,1,0,0,1
3308,0,0,0,0
3765,0,0,0,0
3221,0,0,0,0
1574,1,1,0,0
3224,1,1,1,0
3040,1,0,0,0
893,1,1,1,0
3771,1,1,1,0
344,0,0,0,0
3474,1,0,0,0
4212,1,1,0,1
87,1,1,1,1
4023,1,1,0,0
2254,1,0,0,0
1832,1,1,0,1
3208,0,0,0,0
3211,1,0,0,1
1066,1,0,0,0
3251,1,1,1,1
3735,1,1,0,0
101,1,0,0,0
3494,1,0,0,0
852,1,1,0,0
585,1,1,0,0
108,1,0,0,0
4174,1,0,0,0
1057,1,1,1,0
1538,0,0,0,0
4180,0,0,0,0
2559,1,0,0,1
837,1,1,0,1
600,1,0,0,0
3024,0,0,0,0
602,1,1,1,1
1794,1,1,0,1
4185,1,1,1,1
606,1,1,0,0
2032,1,1,1,1
3165,1,1,1,1
2065,0,0,0,0
137,1,0,0,0
411,1,0,0,0
139,1,0,0,1
409,1,0,0,0
953,1,1,1,1
1219,1,0,0,0
678,1,1,0,0
401,0,0,0,0
676,1,0,0,0
3940,1,0,0,0
675,1,0,0,0
135,0,0,0,0
405,0,0,0,0
2598,1,0,0,0
2599,1,0,0,0
2019,1,1,0,0
3688,0,0,0,0
2597,1,1,0,0
3692,1,1,0,1
3416,1,0,0,0
690,1,1,0,1
2338,0,0,0,0
2583,1,1,0,0
3913,1,0,0,1
2582,1,1,0,0
2577,1,1,0,1
2579,1,1,0,0
2578,1,0,0,0
2589,1,0,0,0
3667,0,0,0,0
3424,0,0,0,0
2584,1,1,0,0
3931,1,1,1,1
669,1,0,0,0
3929,1,0,0,0
3181,1,0,0,0
429,0,0,0,0
906,1,0,0,1
1749,1,0,0,0
188,0,0,0,0
1988,0,0,0,0
3663,0,0,0,0
2573,1,1,0,0
901,1,0,0,0
1513,1,1,0,0
2568,1,0,0,1
420,0,0,0,0
2570,1,1,0,0
3169,1,1,0,1
207,1,0,0,0
474,1,0,0,0
3881,1,1,0,0
3331,1,0,0,1
1163,0,0,0,0
3334,1,0,0,1
1978,1,1,0,0
464,1,1,0,0
3874,0,0,0,0
3353,0,0,0,0
761,1,1,0,0
1955,1,0,0,0
754,1,0,0,0
3072,0,0,0,0
215,1,1,0,0
1181,1,1,1,0
449,1,1,0,1
999,1,0,0,0
3617,0,0,0,0
508,1,0,0,0
237,0,0,0,0
3129,1,1,0,1
236,0,0,0,0
976,1,0,0,1
503,1,0,0,0
970,0,0,0,0
1203,0,0,0,0
1206,0,0,0,0
3592,1,0,0,0
3119,1,0,0,0
973,1,1,1,1
248,1,1,1,1
2630,1,0,0,0
485,1,1,0,0
2632,1,1,0,0
724,1,1,0,0
2636,1,0,0,0
1213,1,0,0,0
3109,0,0,0,0
1905,1,0,0,1
282,1,0,0,0
831,0,0,0,0
286,1,1,1,0
4076,0,0,0,0
3528,1,0,0,0
2199,0,0,0,0
21,0,0,0,0
562,0,0,0,0
23,1,1,1,0
261,1,1,1,0
1353,0,0,0,0
560,1,0,0,0
3278,1,0,0,0
3821,1,1,0,1
797,0,0,0,0
1124,0,0,0,0
520,1,0,0,0
3321,1,0,0,0
45,1,1,0,0
772,0,0,0,0
291,1,1,1,1
292,0,0,0,0
294,0,0,0,0
52,1,1,0,0
2964,0,0,0,0
3308,0,0,0,1
3765,1,1,1,0
3221,0,0,0,0
1574,0,0,0,0
3224,1,0,0,0
3040,0,0,0,0
893,0,0,0,0
3771,1,1,1,0
344,1,0,0,0
3474,0,0,0,0
4212,0,0,0,0
87,1,0,0,0
4023,0,0,0,0
2254,0,0,0,0
1832,0,0,0,0
3208,0,0,0,0
3211,0,0,0,0
1066,1,1,1,0
3251,0,0,0,0
3735,1,0,0,0
101,1,1,1,0
3494,0,0,0,0
852,0,0,0,0
585,1,0,0,0
108,0,0,0,0
4174,0,0,0,0
1057,0,0,0,0
1538,0,0,0,0
4180,1,1,1,1
2559,1,1,0,0
837,1,0,0,0
600,1,1,0,0
3024,0,0,0,0
602,1,0,0,0
1794,1,1,0,0
4185,1,0,0,0
606,0,0,0,0
2032,0,0,0,0
3165,0,0,0,0
2065,1,0,0,0
137,1,1,1,0
411,1,1,1,1
139,0,0,0,0
409,1,1,0,1
953,0,0,0,0
1219,0,0,0,0
678,1,0,0,0
401,0,0,0,0
676,1,1,1,0
3940,0,0,0,0
675,1,1,0,0
135,1,0,0,0
405,1,0,0,1
2598,0,0,0,0
2599,0,0,0,0
2019,1,1,0,0
3688,1,1,1,1
2597,0,0,0,0
3692,1,0,0,0
3416,0,0,0,0
690,1,0,0,0
2338,1,1,0,1
2583,0,0,0,0
3913,0,0,0,0
2582,0,0,0,0
2577,1,1,0,0
2579,0,0,0,0
2578,0,0,0,0
2589,0,0,0,0
3667,1,1,1,1
3424,1,1,0,1
2584,0,0,0,0
3931,1,0,0,0
669,1,0,0,0
3929,0,0,0,0
