% 1 %BooleanFeature(Proximity(Phrase(working with),Token(ADVI),-10,0)) 
% 2 %BooleanFeature(Proximity(Token(advised,advisor,advisors),Token(ADVI),-10,0)) 
% 3 %BooleanFeature(Proximity(Token(with,by),Token(ADVI),-5,0)) 
% 4 %BooleanFeature(Proximity(Token(professor),Token(ADVI),-3,3)) 
% 5 %BooleanFeature(Token(ADVI))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE x4	NUMERIC
@ATTRIBUTE x5	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,1,1
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,1,0,0,1,1
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,1,0,0,1,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,1,0,1,1,1
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,1,0,0,1,1
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,1,0,0,1,1
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,1,0,1,1,1
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,1,0,1,1,1
5075,0,0,0,0,0,0
5097,0,0,0,0,1,1
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,1,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,1,0,1,1,1,1
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,1,1,0,1,1
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,1,0,0,1,1
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,1,1
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,1,0,1,1
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,1,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,1,0,0,1,1
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,1,0,0,1,1,1
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,1,1
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,1,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,1,0,0,1,1
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,1,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,1,1
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,1,1,0,1,1
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,1,0,0,1,1
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,1,0,0,1,1
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,1,1,1,1
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,1,0,1,1
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,1,0,0,1,1
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,1,0,0,1,1,1
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,1,0,0,1,1
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,1,0
6299,0,0,0,0,0,0
6477,0,1,0,0,1,1
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,1,1,1,1,1
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,1,0,0,1,1
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,1,0,0,1,1
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,1,0,0,1,1
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,1,0,1,1,1
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,1,0,0,1,1
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,1,0,1,1
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,0,0,0,0
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,1,0,1,1
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
5075,0,0,0,0,0,0
5097,0,0,0,0,0,0
5451,0,0,0,0,0,0
6299,0,0,0,0,0,0
6477,0,0,0,0,0,0
6641,0,0,0,0,0,0
6674,0,0,0,0,0,0
6701,0,0,0,0,0,0
6838,0,0,0,0,0,0
6959,0,0,0,0,0,0
7216,0,0,0,0,0,0
7502,0,0,0,0,0,0
8364,0,0,0,0,0,0
8678,0,0,0,0,0,0
8742,0,0,0,0,0,0
8885,0,0,0,0,0,0
8898,0,0,0,0,0,0
8984,0,0,1,0,1,1
10007,0,0,0,0,0,0
10929,0,0,0,0,0,0
