% 1 %BooleanFeature(Proximity(Token(edu),Token(UNIV),-3,3)) 
% 2 %BooleanFeature(Proximity(Top(Token(edu),1),Token(UNIV),-3,3)) 
% 3 %BooleanFeature(Proximity(Token(university),Token(UNIV),-3,3)) 
% 4 %BooleanFeature(Token(UNIV))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE x4	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
2813,0,0,0,0,0
2946,1,0,1,1,1
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,0,1,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,1,1,0
6250,0,0,1,1,1
7032,0,0,1,1,1
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,0,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,0,0,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,1,1,1
4429,0,0,0,0,0
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,1,1,1
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,1,1,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,1,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,0,0,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,1,1,0,1,1
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,1,1,0,1,0
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,0,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,0,0,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,1,1,1
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,1,1,1,1,1
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,1,0
1009,1,1,0,1,1
1019,1,1,0,1,1
1023,1,1,0,1,1
1485,0,0,0,1,0
1526,1,1,0,1,1
1627,1,1,0,1,1
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,1,1,0
2441,1,1,1,1,1
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,0,1,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,1,1,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,1,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,0,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,1,1,0,1,0
1904,0,0,0,0,0
2224,0,0,0,0,0
2441,0,0,0,0,0
2813,0,0,0,1,0
2946,1,1,0,1,1
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,1,1,0,1,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,0,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,0,0,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,0,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,0,1,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,1,1
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,1,1,0
6250,0,0,0,1,1
7032,0,0,0,1,1
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,0,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,1,1,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,0,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,0,0
4429,0,0,0,0,0
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,1,1,1,1,1
8085,0,0,0,0,0
8509,0,0,0,0,0
428,0,0,0,0,0
757,0,0,0,0,0
849,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
1009,0,0,0,0,0
1019,0,0,0,0,0
1023,0,0,0,0,0
1485,0,0,0,0,0
1526,0,0,0,0,0
1627,0,0,0,0,0
1842,0,0,0,0,0
1904,0,0,0,0,0
2224,0,0,1,1,0
2441,0,0,0,0,0
2813,0,0,0,0,0
2946,0,0,0,0,0
2996,0,0,0,0,0
3200,0,0,0,0,0
3508,0,0,0,0,0
4256,0,0,0,1,0
4306,0,0,0,0,0
4349,0,0,0,0,0
4368,0,0,0,1,0
4429,0,0,1,1,1
4461,0,0,0,0,0
4560,0,0,0,0,0
4561,0,0,0,0,0
4667,0,0,0,0,0
5253,0,0,0,0,0
6250,0,0,0,0,0
7032,0,0,0,0,0
7505,0,0,0,0,0
8085,0,0,0,0,0
8509,0,0,0,0,0
