% 1 %BooleanFeature(Token(DEPT)) 
% 2 %BooleanFeature(Proximity(Token(department),Token(DEPT),-5,5)) 
% 3 %BooleanFeature(Proximity(Token(professor),Token(DEPT),-3,3))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
6444,1,0,0,1
6461,1,1,0,1
6825,1,1,1,1
6966,1,0,1,1
7028,1,1,1,1
7130,1,1,0,1
7392,1,1,0,1
7415,1,1,0,1
7618,1,1,1,1
7668,1,1,0,1
7753,0,0,0,0
7764,1,1,1,1
8232,1,1,1,1
8387,1,1,1,1
8447,1,1,1,1
8488,1,1,1,1
9015,0,0,0,0
9304,1,1,1,1
9510,1,0,1,1
9583,1,0,0,0
9960,1,1,1,1
9994,1,1,1,1
10190,0,0,0,0
10194,0,0,0,0
10310,1,0,1,1
10559,1,1,0,1
11003,0,0,0,0
4853,0,0,0,0
4885,0,0,0,0
4930,0,0,0,0
4956,0,0,0,0
4959,0,0,0,0
4961,0,0,0,0
5138,1,0,0,0
5197,0,0,0,0
5351,0,0,0,0
5455,1,0,0,1
5471,0,0,0,0
5623,0,0,0,0
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,0,0,0,0
5811,1,0,0,0
5819,0,0,0,0
6311,0,0,0,0
6444,0,0,0,0
6461,0,0,0,0
6825,0,0,0,0
6966,0,0,0,0
7028,0,0,0,0
7130,0,0,0,0
7392,0,0,0,0
7415,0,0,0,0
7618,0,0,0,0
7668,0,0,0,0
7753,0,0,0,0
7764,0,0,0,0
8232,0,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,0,0,0,0
9015,0,0,0,0
9304,1,0,0,0
9510,0,0,0,0
9583,0,0,0,0
9960,0,0,0,0
9994,0,0,0,0
10190,0,0,0,0
10194,1,0,0,0
10310,0,0,0,0
10559,0,0,0,0
11003,0,0,0,0
4853,0,0,0,0
4885,0,0,0,0
4930,0,0,0,0
4956,0,0,0,0
4959,0,0,0,0
4961,1,0,0,0
5138,0,0,0,0
5197,0,0,0,0
5351,0,0,0,0
5455,0,0,0,0
5471,0,0,0,0
5623,0,0,0,0
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,1,1,0,0
5811,0,0,0,0
5819,0,0,0,0
6311,0,0,0,0
6444,0,0,0,0
6461,0,0,0,0
6825,0,0,0,0
6966,0,0,0,0
7028,1,0,0,0
7130,0,0,0,0
7392,1,1,1,1
7415,1,0,0,0
7618,0,0,0,0
7668,0,0,0,0
7753,0,0,0,0
7764,0,0,0,0
8232,0,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,0,0,0,0
9015,0,0,0,0
9304,0,0,0,0
9510,0,0,0,0
9583,1,1,1,1
9960,0,0,0,0
9994,0,0,0,0
10190,0,0,0,0
10194,0,0,0,0
10310,0,0,0,0
10559,0,0,0,0
11003,0,0,0,0
4853,0,0,0,0
4885,0,0,0,0
4930,0,0,0,0
4956,1,0,0,0
4959,0,0,0,0
4961,1,0,0,0
5138,1,0,0,1
5197,0,0,0,0
5351,0,0,0,0
5455,0,0,0,0
5471,1,0,0,0
5623,0,0,0,0
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,1,1,0,0
5811,0,0,0,0
5819,0,0,0,0
6311,1,1,0,1
6444,0,0,0,0
6461,1,0,0,0
6825,0,0,0,0
6966,1,0,0,0
7028,1,1,0,0
7130,1,0,0,0
7392,1,1,1,1
7415,1,0,0,0
7618,1,0,0,0
7668,1,0,0,0
7753,0,0,0,0
7764,1,1,0,1
8232,1,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,1,0,0,0
9015,0,0,0,0
9304,1,0,0,0
9510,0,0,0,0
9583,1,1,1,1
9960,1,0,0,0
9994,1,0,0,0
10190,0,0,0,0
10194,1,1,1,0
10310,0,0,0,0
10559,1,0,1,0
11003,0,0,0,0
4853,0,0,0,0
4885,0,0,0,0
4930,0,0,0,0
4956,1,0,0,0
4959,0,0,0,0
4961,0,0,0,0
5138,0,0,0,0
5197,0,0,0,0
5351,0,0,0,0
5455,0,0,0,0
5471,0,0,0,0
5623,1,0,0,1
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,1,0,0,0
5811,0,0,0,0
5819,0,0,0,0
6311,0,0,0,0
6444,0,0,0,0
6461,0,0,0,0
6825,0,0,0,0
6966,0,0,0,0
7028,0,0,0,0
7130,1,1,0,1
7392,0,0,0,0
7415,0,0,0,0
7618,0,0,0,0
7668,0,0,0,0
7753,0,0,0,0
7764,0,0,0,0
8232,1,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,0,0,0,0
9015,0,0,0,0
9304,0,0,0,0
9510,0,0,0,0
9583,0,0,0,0
9960,0,0,0,0
9994,0,0,0,0
10190,0,0,0,0
10194,0,0,0,0
10310,0,0,0,0
10559,0,0,0,0
11003,0,0,0,0
4853,1,0,0,0
4885,1,0,1,0
4930,1,0,0,0
4956,0,0,0,0
4959,0,0,0,0
4961,0,0,0,0
5138,0,0,0,0
5197,1,0,0,0
5351,0,0,0,0
5455,0,0,0,0
5471,0,0,0,0
5623,0,0,0,0
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,0,0,0,0
5811,0,0,0,0
5819,0,0,0,0
6311,0,0,0,0
6444,0,0,0,0
6461,0,0,0,0
6825,0,0,0,0
6966,0,0,0,0
7028,0,0,0,0
7130,0,0,0,0
7392,0,0,0,0
7415,0,0,0,0
7618,0,0,0,0
7668,0,0,0,0
7753,0,0,0,0
7764,0,0,0,0
8232,0,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,0,0,0,0
9015,0,0,0,0
9304,0,0,0,0
9510,1,0,0,1
9583,0,0,0,0
9960,0,0,0,0
9994,0,0,0,0
10190,0,0,0,0
10194,0,0,0,0
10310,0,0,0,0
10559,0,0,0,0
11003,0,0,0,0
4853,0,0,0,0
4885,0,0,0,0
4930,0,0,0,0
4956,0,0,0,0
4959,0,0,0,0
4961,0,0,0,0
5138,0,0,0,0
5197,0,0,0,0
5351,1,1,1,1
5455,0,0,0,0
5471,0,0,0,0
5623,0,0,0,0
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,0,0,0,0
5811,0,0,0,0
5819,0,0,0,0
6311,0,0,0,0
6444,0,0,0,0
6461,0,0,0,0
6825,0,0,0,0
6966,0,0,0,0
7028,0,0,0,0
7130,0,0,0,0
7392,0,0,0,0
7415,0,0,0,0
7618,0,0,0,0
7668,1,0,0,0
7753,0,0,0,0
7764,0,0,0,0
8232,0,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,0,0,0,0
9015,0,0,0,0
9304,0,0,0,0
9510,0,0,0,0
9583,0,0,0,0
9960,0,0,0,0
9994,0,0,0,0
10190,0,0,0,0
10194,1,0,0,0
10310,0,0,0,0
10559,0,0,0,0
11003,1,0,0,0
4853,0,0,0,0
4885,0,0,0,0
4930,0,0,0,0
4956,0,0,0,0
4959,0,0,0,0
4961,0,0,0,0
5138,0,0,0,0
5197,0,0,0,0
5351,0,0,0,0
5455,0,0,0,0
5471,0,0,0,0
5623,0,0,0,0
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,0,0,0,0
5811,0,0,0,0
5819,1,1,1,1
6311,0,0,0,0
6444,0,0,0,0
6461,0,0,0,0
6825,0,0,0,0
6966,0,0,0,0
7028,0,0,0,0
7130,0,0,0,0
7392,0,0,0,0
7415,0,0,0,0
7618,0,0,0,0
7668,0,0,0,0
7753,0,0,0,0
7764,0,0,0,0
8232,0,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,0,0,0,0
9015,0,0,0,0
9304,0,0,0,0
9510,0,0,0,0
9583,0,0,0,0
9960,0,0,0,0
9994,0,0,0,0
10190,0,0,0,0
10194,0,0,0,0
10310,0,0,0,0
10559,0,0,0,0
11003,0,0,0,0
4853,0,0,0,0
4885,0,0,0,0
4930,0,0,0,0
4956,0,0,0,0
4959,0,0,0,0
4961,0,0,0,0
5138,0,0,0,0
5197,0,0,0,0
5351,0,0,0,0
5455,0,0,0,0
5471,0,0,0,0
5623,0,0,0,0
5665,0,0,0,0
5670,0,0,0,0
5720,0,0,0,0
5766,0,0,0,0
5811,1,1,1,1
5819,0,0,0,0
6311,0,0,0,0
6444,0,0,0,0
6461,0,0,0,0
6825,0,0,0,0
6966,0,0,0,0
7028,0,0,0,0
7130,0,0,0,0
7392,0,0,0,0
7415,0,0,0,0
7618,0,0,0,0
7668,0,0,0,0
7753,0,0,0,0
7764,0,0,0,0
8232,0,0,0,0
8387,0,0,0,0
8447,0,0,0,0
8488,0,0,0,0
9015,0,0,0,0
9304,0,0,0,0
9510,0,0,0,0
9583,0,0,0,0
9960,0,0,0,0
9994,0,0,0,0
10190,0,0,0,0
10194,0,0,0,0
10310,0,0,0,0
10559,0,0,0,0
11003,0,0,0,0
