% 1 %BooleanFeature(Token(NAME)) 
% 2 %BooleanFeature(HTMLTitle(NAME))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,1,1,1
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,1,0,1
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,1,1,1
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,1,1,1
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,1,1,1
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,1,0,1
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,1,1,1
6477,0,0,0
6641,1,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,1,1,1
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,1,1,1
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,1,1,1
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,1,1,1
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,1,1,1
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,1,0,1
6701,1,1,1
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,1,0,1
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,1,1,1
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,1,1,1
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,1,0,0
6959,0,0,0
7216,1,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,1,1,1
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,1,1,1
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,1,1,1
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,1,1,1
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,1,1,1
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,1,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,1,1,1
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,1,1,1
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,1,0,1
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,1,1,1
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,1,1,1
5075,0,0,0
5097,0,0,0
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,1,0,1
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,1,0,1
5451,0,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,0,0,0
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
5075,0,0,0
5097,0,0,0
5451,1,0,0
6299,0,0,0
6477,0,0,0
6641,0,0,0
6674,0,0,0
6701,0,0,0
6838,0,0,0
6959,0,0,0
7216,0,0,0
7502,0,0,0
8364,1,1,1
8678,0,0,0
8742,0,0,0
8885,0,0,0
8898,0,0,0
8984,0,0,0
10007,0,0,0
10929,0,0,0
